,year,cod_77821,cod_77823,cod_77824,cod_77827,cod_77831,cod_77832,cod_77833,cod_77849,cod_77850,cod_77851
0,2000,0.439,8315.0,61.672,308148.0,0.771,99.01,,37057452,7.796,19.413
1,2001,0.425,7775.0,61.651,291335.0,0.776,99.06,,37471509,7.782,19.302
2,2002,0.389,2919.0,61.293,110584.0,0.769,99.11,94.8,37889370,7.77,19.199
3,2003,0.41,3666.0,61.829,140444.0,0.775,99.16,94.81,38309379,7.759,19.091
4,2004,0.404,4285.0,62.367,165948.0,0.78,99.2,94.82,38728696,7.746,18.97
5,2005,0.421,5125.0,62.05,200622.0,0.782,99.24,94.84,39145488,7.731,18.836
6,2006,0.452,5925.0,62.336,234391.0,0.787,99.29,94.85,39558890,7.714,18.695
7,2007,0.46,7249.0,61.594,289755.0,0.792,99.33,94.87,39970224,7.695,18.553
8,2008,0.471,9055.0,60.858,365644.0,0.795,99.37,94.89,40382389,7.676,18.417
9,2009,0.587,8244.0,61.236,336359.0,0.799,99.4,94.9,40799407,7.656,18.285
10,2010,0.561,10346.0,59.718,426487.0,0.813,99.44,94.87,41223889,7.637,18.154
11,2011,0.566,12727.0,60.838,530158.0,0.819,99.48,94.85,41656879,7.619,18.019
12,2012,0.635,13812.0,60.692,581431.0,0.818,99.51,94.83,42096739,7.603,17.875
13,2013,0.618,14417.0,60.403,613316.0,0.82,98.93,94.17,42539925,7.665,17.831
14,2014,0.594,13299.0,59.69,567050.0,0.825,99.0,94.2,42981515,7.651,17.698
15,2015,0.623,14971.0,60.02,644903.0,0.84,99.07,94.23,43075416,7.638,17.548
16,2016,0.558,12814.0,60.31,557532.0,0.839,99.02,95.42,43508459,7.626,17.383
17,2017,0.542,14628.0,60.59,642696.0,0.843,99.02999999999999,95.61666666666667,43937143,7.616,17.205
18,2018,0.9999,11719.0,61.39,519872.0,0.842,99.02999999999999,95.61666666666667,44361150,7.609,17.021
19,2019,,10041.0,61.61,449664.0,0.845,99.02999999999999,95.61666666666667,44780675,,
20,2020,,,61.21,,,99.02999999999999,95.61666666666667,45195777,,
