year,cod_77823,cod_77827,cod_77832,cod_77833,cod_77849
1990,,,,,
1990-1995,,,,,
1995,,,,,
1995-2000,,,,,
1999-2001,,,,,
2000,99999999999998,99999999999998,99999999999998,,163165
2000-2002,,,,,
2000-2005,,,,,
2001,99999999999998,99999999999998,93.21,,170596
2001-2003,,,,,
2002,99999999999998,99999999999998,93.21,93.86,178904
2002-2004,,,,,
2003,99999999999998,99999999999998,93.21,93.86,187619
2003-2005,,,,,
2004,99999999999998,99999999999998,93.21,93.86,196079
2004-2006,,,,,
2005,99999999999998,99999999999998,93.21,93.86,203826
2005-2007,,,,,
2005-2010,,,,,
2006,99999999999998,99999999999998,93.22,93.49,210673
2006-2008,,,,,
2007,99999999999998,99999999999998,93.24,93.12,216785
2007-2009,,,,,
2008,99999999999998,99999999999998,93.25,92.74,222452
2008-2010,,,,,
2009,99999999999998,99999999999998,93.26,92.37,228134
2009-2011,,,,,
2010,99999999999998,99999999999998,93.28,92.00,234181
2010-2012,,,,,
2010-2015,,,,,
2011,99999999999998,99999999999998,93.29,91.63,240654
2011-2013,,,,,
2012,99999999999998,99999999999998,93.31,91.25,247463
2012-2014,,,,,
2013,99999999999998,99999999999998,93.50,91.87,254503
2013-2015,,,,,
2014,99999999999998,99999999999998,93.65,91.83,261623
2014-2016,,,,,
2015,99999999999998,99999999999998,93.81,91.79,261008
2015-2017,,,,,
2015-2020,,,,,
2016,99999999999998,99999999999998,93.62,92.39,267824
2016-2018,,,,,
2017,99999999999998,99999999999998,93.67,92.41,275189
2017-2019,,,,,
2018,,,93.73,92.43,282936
2019,,,93.78,92.45,290823
2020,,,93.78,92.45,298682
